t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
100,ff24be68,fc2692af,cc29881e,fc2a0062,6c836cdc,206057e2,fe230000,,fe241ea6,,
101,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
102,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
103,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
104,50153f51,5456f657,00000068,0000006c,02000074,000000d0,cce2fe45,,90a7fd4b,,
105,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
106,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
107,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
108,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
109,11000000,124ac47f,1378f8fc,149443fb,15a4c36b,1a3846fb,1b000000,,1d000000,,
110,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
111,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
112,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
113,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
114,11000000,12bf4880,13763dfa,141789f8,15c1aa46,1aa978f8,1b000000,,1d000000,,
115,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
116,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
117,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
118,a4d2fd51,b8450056,00000068,0000006c,02000074,000000c0,10d9fd45,,4845e14b,,
119,00040000,8b000000,9790c6fb,9fb0b2d1,a3e819c4,af082e1e,d0689ac3,,d8000000,,
120,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
121,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
122,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
123,d177fc47,811c0158,010000b0,000000c0,0b000060,01000000,111e0118,,7122a42f,,
124,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
125,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
126,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
127,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
128,11000000,129bf77f,13286aff,1412a0fd,15f96c2f,1a9196fd,1b000080,,1d000000,,
129,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
130,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
131,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
132,850ad71f,50954060,84cebc47,8489ea5f,eda96fa0,04000000,4421fc5f,,8476dabf,,
133,7f09cfef,fe09ddb4,198a70d0,fe8a4232,808d15cd,000e0000,00030000,,00580000,,
134,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
